254     12      1      OCT    2017
      1  99999   2836  67.37N 26.65E   178   1130
      2    200   1860   2230     85  99999      0
      3          EFSO                99999     ms
      9  10090    178     46     35    235     10
      4  10000    253     38     34    220     10
      5   9510    657      8      5  99999  99999
      5   9480    682     36    -44  99999  99999
      5   9430    726     60      0  99999  99999
      5   9270    865    100    -50  99999  99999
      4   9250    886    102    -48     80     21
      5   9150    976    106    -34  99999  99999
      5   8990   1122    108    -62  99999  99999
      5   8770   1327    102    -58  99999  99999
      4   8500   1589     84    -56     85     21
      5   8000   2084     40    -70  99999  99999
      5   7260   2863     -9   -189  99999  99999
      4   7000   3157    -27   -157    155     10
      5   6790   3397    -49   -159  99999  99999
      5   6490   3750    -71   -221  99999  99999
      5   6180   4128   -101   -181  99999  99999
      6   6120   4201  99999  99999    280      5
      5   5580   4903   -163   -233  99999  99999
      5   5230   5386   -189   -279  99999  99999
      4   5000   5730   -211   -331    160     15
      5   4620   6308   -245   -465  99999  99999
      5   4140   7095   -303   -523  99999  99999
      4   4000   7340   -325   -535     60     26
      5   3480   8303   -401   -491  99999  99999
      6   3410   8439  99999  99999     70     10
      6   3020   9255  99999  99999     50     51
      4   3000   9300   -479   -569     50     51
      5   2930   9455   -493   -583  99999  99999
      4   2500  10480   -559   -629      5     87
      5   2480  10531   -563   -643  99999  99999
      6   2430  10659  99999  99999    350     93
      6   2280  11061  99999  99999      5    134
      7   2230  11201   -583   -693    360    123
      6   2080  11641  99999  99999    345     72
      6   2020  11826  99999  99999     20     77
      4   2000  11890   -567   -757     15     62
      6   1950  12051  99999  99999    355     67
      6   1860  12351  99999  99999     15     67
      5   1820  12488   -551   -801  99999  99999
      6   1810  12523  99999  99999    345     62
      6   1630  13190  99999  99999     45     51
      4   1500  13720   -555   -825     15     36
      6   1470  13848  99999  99999      5     51
      6   1340  14437  99999  99999      5     10
      5   1130  15524   -545   -845  99999  99999
      6   1080  15811  99999  99999    335     51
      4   1000  16300   -555   -855     10     26
      6    789  17808  99999  99999    335     15
      6    702  18551  99999  99999    350     57
      4    700  18570   -583   -873    350     57
      6    662  18920  99999  99999    350     72
      6    642  19112  99999  99999     10     51
      6    565  19913  99999  99999    305     51
      6    548  20104  99999  99999    315     51
      6    536  20243  99999  99999    305     51
      6    517  20469  99999  99999    345     87
      4    500  20680   -595   -875    360     98
      6    488  20831  99999  99999     10     93
      6    440  21477  99999  99999    355     93
      6    425  21693  99999  99999     15    108
      6    413  21872  99999  99999     30     87
      6    402  22040  99999  99999     35     57
      6    393  22181  99999  99999     25     46
      5    373  22500   -613   -893    355     87
      6    346  22972  99999  99999     10    123
      6    327  23327  99999  99999     25     82
      6    317  23522  99999  99999    360     93
      4    300  23870   -597   -887     35     93
      6    299  23890  99999  99999     35     87
      6    288  24123  99999  99999     20     72
      6    276  24388  99999  99999    335     67
      5    269  24552   -585   -885  99999  99999
      6    254  24909  99999  99999     10     87
      6    239  25288  99999  99999      5     51
      6    222  25748  99999  99999    355     36
      6    218  25861  99999  99999    305     62
      6    208  26154  99999  99999    330    113
      6    202  26337  99999  99999    345    108
      4    200  26400   -603   -883    345    103
      5    184  26918   -605   -895    360     82
    254      0      2      OCT    2017
      1  99999   2836  67.37N 26.65E   178   2330
      2    500   2160   2320     75  99999      0
      3          EFSO                99999     ms
      9  10050    178     34     30    170     26
      4  10000    221     30     30    175     41
      6   9530    608  99999  99999    200     62
      4   9250    848    -11    -11    205     46
      5   9170    917    -17    -17  99999  99999
      5   9100    978    -13    -20  99999  99999
      5   9080    996     20    -24  99999  99999
      5   9030   1041     44   -116  99999  99999
      5   8990   1077     66   -134  99999  99999
      5   8970   1095     68   -122  99999  99999
      5   8820   1233     70    -60  99999  99999
      4   8500   1538     70   -140    180     87
      6   8470   1566  99999  99999    175     87
      5   8390   1644     66   -144  99999  99999
      6   8120   1907  99999  99999    170     77
      6   7600   2440  99999  99999    175     77
      6   7390   2665  99999  99999    195     82
      5   7380   2678     -9   -139  99999  99999
      4   7000   3103    -33   -183    190     82
      5   6420   3778    -81   -281  99999  99999
      6   6200   4041  99999  99999    190     62
      5   5960   4348   -127   -207  99999  99999
      6   5850   4488  99999  99999    220     62
      5   5790   4567   -145   -225  99999  99999
      5   5390   5104   -179   -299  99999  99999
      5   5200   5371   -197   -257  99999  99999
      4   5000   5670   -217   -347    235     26
      5   4840   5908   -225   -405  99999  99999
      6   4300   6759  99999  99999    185      5
      5   4270   6814   -287   -517  99999  99999
      5   4180   6966   -299   -449  99999  99999
      4   4000   7280   -325   -445    205     21
      5   3870   7511   -343   -433  99999  99999
      5   3400   8399   -421   -491  99999  99999
      5   3200   8806   -449   -569  99999  99999
      6   3140   8933  99999  99999    320     26
      4   3000   9240   -485   -575    305     51
      6   2830   9617  99999  99999    315     72
      5   2710   9900   -533   -623  99999  99999
      6   2690   9947  99999  99999    305     77
      4   2500  10420   -559   -639    320    123
      6   2470  10496  99999  99999    320    129
      5   2420  10626   -569   -639  99999  99999
      7   2320  10892   -577   -677    325    108
      6   2240  11114  99999  99999    335     82
      6   2160  11343  99999  99999    300     67
      6   2050  11673  99999  99999    330     51
      4   2000  11830   -547   -787    350     21
      5   1850  12329   -535   -815  99999  99999
      4   1500  13680   -551   -831    305     41
      6   1320  14496  99999  99999      0      0
      5   1170  15269   -533   -843  99999  99999
      4   1000  16270   -555   -845    360     26
      6    935  16697  99999  99999      5     51
      6    913  16848  99999  99999     35     57
      6    762  17999  99999  99999    335     51
      6    725  18316  99999  99999      5     51
      4    700  18540   -575   -865    320     41
      6    678  18740  99999  99999    315     51
      6    653  18976  99999  99999    340     93
      6    627  19229  99999  99999     15     57
      6    604  19463  99999  99999     10     67
      6    554  20005  99999  99999     45     62
      6    541  20154  99999  99999     20     41
      6    532  20259  99999  99999      5     51
      6    519  20414  99999  99999     15     51
      4    500  20650   -589   -879    350     67
      6    495  99999  99999  99999    350     72
      6    477  99999  99999  99999    360    113
      6    425  99999  99999  99999     30     82
      5    399  22058   -599   -879    355     62
    254     12      2      OCT    2017
      1  99999   2836  67.37N 26.65E   178   1130
      2  99999   6620   2340    106  99999      0
      3          EFSO                99999     ms
      4  10000    183     52     42    145     31
      6   9760    379  99999  99999    170     93
      5   9520    581     22     22  99999  99999
      4   9250    814      8      8    185    134
      6   9010   1024  99999  99999    205    108
      4   8500   1491    -27    -27    195    139
      5   8470   1519    -29    -29  99999  99999
      5   8400   1585     18   -122  99999  99999
      5   8340   1643     28   -182  99999  99999
      5   8310   1672     28   -132  99999  99999
      6   8230   1749  99999  99999    190    175
      5   7960   2018     18   -252  99999  99999
      5   7470   2527      4   -216  99999  99999
      4   7000   3048    -23   -213    195    149
      5   6620   3487    -53   -183  99999  99999
      5   6540   3582    -57   -217  99999  99999
      5   6410   3738    -69   -139  99999  99999
      5   6090   4134   -103   -131  99999  99999
      5   5840   4455   -121   -191  99999  99999
      6   5540   4850  99999  99999    195    144
      5   5480   4936   -169   -197  99999  99999
      5   5440   4991   -173   -212  99999  99999
      5   5240   5270   -181   -391  99999  99999
      5   5110   5457   -195   -305  99999  99999
      6   5080   5501  99999  99999    185     72
      6   5010   5605  99999  99999    195     67
      4   5000   5620   -207   -317    195     67
      5   4860   5829   -223   -363  99999  99999
      6   4670   6117  99999  99999    235     72
      5   4650   6151   -247   -317  99999  99999
      5   4480   6420   -269   -379  99999  99999
      5   4430   6501   -271   -421  99999  99999
      6   4300   6716  99999  99999    250     82
      5   4180   6916   -303   -393  99999  99999
      5   4130   7001   -305   -545  99999  99999
      6   4090   7073  99999  99999    220     67
      5   4040   7157   -313   -573  99999  99999
      4   4000   7240   -319   -579    225     57
      6   3760   7663  99999  99999    240     57
      6   3500   8153  99999  99999    235     62
      5   3360   8445   -409   -589  99999  99999
      5   3320   8526   -411   -481  99999  99999
      5   3270   8629   -421   -481  99999  99999
      6   3100   8988  99999  99999    280     51
      5   3010   9182   -469   -504  99999  99999
      4   3000   9210   -471   -506    280     62
      6   2750   9773  99999  99999    295     67
      5   2730   9826   -519   -564  99999  99999
      6   2530  10313  99999  99999    280     62
      4   2500  10390   -553   -643    265     46
      5   2470  10467   -555   -685  99999  99999
      6   2430  10570  99999  99999    245     57
      7   2340  10809   -573   -673    245     67
      6   2230  11112  99999  99999    270     82
      6   2160  11313  99999  99999    290     67
      6   2110  11461  99999  99999    285     67
      6   2040  11674  99999  99999    245     51
      4   2000  11800   -563   -723    245     62
      6   1990  11832  99999  99999    245     57
      6   1900  12128  99999  99999    225     51
      6   1780  12545  99999  99999    260     51
      6   1650  13030  99999  99999    195      5
      4   1500  13640   -531   -831    245     31
      5   1460  13814   -527   -827  99999  99999
      6   1360  14270  99999  99999    230     57
      6   1030  16059  99999  99999    285     51
      4   1000  16250   -551   -851    315     62
      6    979  16384  99999  99999    335     51
      6    882  17045  99999  99999    325      5
      6    719  18340  99999  99999    345     51
      6    704  18473  99999  99999    360     51
      4    700  18510   -563   -873      5     46
      6    640  19077  99999  99999      5     51
      6    600  19485  99999  99999    320     51
      6    579  19710  99999  99999    355     62
      6    563  19887  99999  99999    355     67
      6    554  19989  99999  99999     10     77
      6    545  20092  99999  99999     20     67
      6    506  20564  99999  99999     35     51
      4    500  20640   -587   -877     35     36
      6    489  20779  99999  99999    340     15
      6    472  21000  99999  99999    310     51
      6    457  21202  99999  99999    350     87
      6    448  21326  99999  99999    355    103
      6    425  21656  99999  99999     30     82
      6    375  22440  99999  99999    340     46
      6    365  22609  99999  99999    315     62
      6    343  22999  99999  99999    330     98
      6    313  23573  99999  99999     10     98
      4    300  23840   -601   -891      5     93
      6    288  24094  99999  99999    345     93
      6    272  24450  99999  99999    350    149
      6    258  24779  99999  99999     20    113
      5    251  24947   -611   -891  99999  99999
      6    244  25124  99999  99999    360    134
      6    230  25494  99999  99999     15     87
      6    217  25858  99999  99999    350     57
      4    200  26370   -587   -897    330    123
      6    177  99999  99999  99999    355    108
      6    172  99999  99999  99999    340     82
      6    159  99999  99999  99999    350     93
      5    153  28044   -595   -895    340     72
    254      0      3      OCT    2017
      1  99999   2836  67.37N 26.65E   178   2330
      2    200   6390   2150     92  99999      0
      3          EFSO                99999     ms
      9   9940    178     48     43    125     36
      4  10000    128  99999  99999  99999  99999
      6   9700    377  99999  99999    160     98
      6   9380    650  99999  99999    165    129
      4   9250    764     12     12    165    113
      6   8600   1345  99999  99999    170    123
      4   8500   1439    -31    -31    170    129
      5   8350   1579    -41    -41  99999  99999
      5   8280   1646      8    -82  99999  99999
      6   8270   1655  99999  99999    190    134
      5   7930   1993     26   -254  99999  99999
      5   7530   2408      0   -140  99999  99999
      5   7360   2590     -3   -263  99999  99999
      5   7130   2842    -17   -167  99999  99999
      5   7030   2954    -21   -241  99999  99999
      4   7000   2994    -23   -203    180    159
      5   6960   3039    -25   -185  99999  99999
      5   6680   3362    -55   -135  99999  99999
      5   6650   3397    -53   -253  99999  99999
      5   6620   3432    -55   -155  99999  99999
