254     12      1      OCT    2015
      1  99999   2836  67.37N 26.65E   178   1130
      6    262  99999  99999  99999    310    118
      6    256  99999  99999  99999    275     72
      6    255  99999  99999  99999    265     72
      5    254  24842   -545   -905  99999  99999
      6    236  99999  99999  99999    280    138
      6    230  99999  99999  99999    280    113
      6    217  99999  99999  99999    320     82
      6    212  99999  99999  99999    315     66
      6    208  99999  99999  99999    290     77
      5    201  26326   -579   -929    285    138
    254     12      2      OCT    2015
      1  99999   2836  67.37N 26.65E   178   1130
      2    300   1970    781     98  99999      3
      3          EFSO                99999     ms
      9   9600    178     16     12    125     15
      4  10000   -150  99999  99999  99999  99999
      6   9500    262  99999  99999     60     51
      5   9270    458     -3     -4  99999  99999
      4   9250    479     -3     -3     90     97
      6   9010    688  99999  99999    115    133
      4   8500   1154    -31    -31    110    144
      6   8470   1181  99999  99999    110    144
      6   8430   1218  99999  99999    110    149
      6   8000   1628  99999  99999    130     61
      6   7950   1677  99999  99999    130     51
      6   7760   1866  99999  99999    205     15
      4   7000   2676    -99   -105    280     36
      6   6810   2881  99999  99999    285     51
      5   6640   3080   -111   -123  99999  99999
      6   6330   3437  99999  99999    295    118
      6   6000   3837  99999  99999    280    138
      5   5910   3961   -169   -178  99999  99999
      6   5880   3998  99999  99999    275    138
      5   5840   4050   -175   -191  99999  99999
      5   5330   4724   -233   -266  99999  99999
      5   5260   4820   -239   -250  99999  99999
      6   5240   4848  99999  99999    270     82
      5   5170   4945   -253   -301  99999  99999
      5   5040   5129   -269   -306  99999  99999
      4   5000   5200   -275   -345    290     87
      5   4980   5229   -277   -367  99999  99999
      6   4930   5299  99999  99999    300     97
      5   4660   5702   -313   -333  99999  99999
      5   4420   6073   -347   -397  99999  99999
      5   4080   6624   -397   -415  99999  99999
      4   4000   6760   -407   -432    270    102
      6   3710   7262  99999  99999    255    113
      5   3690   7302   -457   -493  99999  99999
      6   3570   7522  99999  99999    260    102
      5   3510   7632   -485   -535  99999  99999
      7   3450   7745   -489   -516    260    128
      6   3440   7766  99999  99999    260    128
      5   3430   7783   -481   -691  99999  99999
      5   3420   7802   -477   -837  99999  99999
      6   3330   7980  99999  99999    280    185
      4   3000   8680   -439   -729    280    262
      5   2690   9413   -421   -791  99999  99999
      6   2530   9829  99999  99999    280    350
      4   2500   9910   -431   -811    280    344
      4   2000  11410   -443   -833    280    406
      6   1970  11510  99999  99999    280    411
      5   1630  12768   -475   -855    285    303
      4   1500  13320   -469   -859    285    339
      6   1380  13873  99999  99999    290    375
      5   1250  14529   -451   -851  99999  99999
      6   1240  14582  99999  99999    305    262
      6   1170  14967  99999  99999    295    159
      6   1110  15316  99999  99999    285    195
      6   1050  15685  99999  99999    305    257
      4   1000  16010   -469   -849    300    195
      6    937  16435  99999  99999    275    144
      6    924  16526  99999  99999    265    149
      6    829  17234  99999  99999    295    175
      6    803  17442  99999  99999    285    164
      6    785  17590  99999  99999    275    190
      7    781  17622   -527   -877    275    200
      5    751  17876   -493   -863  99999  99999
      5    708  18260   -513   -873    285    324
      4    700  18340   -509   -869    290    314
      5    666  18665   -489   -869  99999  99999
      6    664  18684  99999  99999    305    169
      6    610  19235  99999  99999    310    211
      5    581  19552   -527   -887  99999  99999
      6    569  19687  99999  99999    320    128
      5    559  19802   -507   -867  99999  99999
      6    558  19813  99999  99999    315     87
      6    549  19919  99999  99999    295     77
      6    537  20063  99999  99999    270     92
      6    507  20439  99999  99999    270    164
      4    500  20530   -531   -891    275    164
      6    467  20964  99999  99999    280    123
      6    444  21285  99999  99999    305    102
      6    424  21578  99999  99999    285    123
      6    407  21838  99999  99999    305     97
      6    398  21980  99999  99999    295     77
      6    373  22393  99999  99999    255    118
      6    358  22654  99999  99999    260    133
      5    357  22670   -581   -901  99999  99999
      6    330  23171  99999  99999    300    211
      6    303  23716  99999  99999    340    128
      4    300  23780   -547   -887    345    113
      5    290  23997   -535   -885    335     82
      6    283  99999  99999  99999    310     72
      6    278  99999  99999  99999    280     77
      6    269  99999  99999  99999    260    102
      5    259  24717   -567   -897  99999  99999
      6    253  99999  99999  99999    290    108
      5    232  25415   -555   -885    300    123
    254      0      3      OCT    2015
      1  99999   2836  67.37N 26.65E   178   2330
      2    500   1170   3440     69  99999      3
      3          EFSO                99999     ms
      9   9760    178     14      0      0     20
      4  10000    -16  99999  99999  99999  99999
      6   9650    268  99999  99999    320     51
      4   9250    607    -11    -20    345     97
      5   9020    806    -29    -31  99999  99999
      5   8920    894    -13    -49    355    133
      6   8610   1176  99999  99999      0    102
      4   8500   1278    -43    -69      0     97
      6   8000   1748  99999  99999    340    113
      5   7780   1968    -81   -127  99999  99999
      5   7670   2078    -77   -207  99999  99999
      4   7000   2785   -131   -241    340    144
      6   6320   3533  99999  99999    325    154
      6   6000   3913  99999  99999    335    159
      6   5920   4011  99999  99999    335    149
      5   5890   4071   -229   -329  99999  99999
      6   5480   4590  99999  99999    315    164
      5   5210   4953   -309   -336  99999  99999
      4   5000   5250   -331   -381    315    175
      5   4620   5799   -379   -449  99999  99999
      6   4600   5828  99999  99999    320    159
      5   4430   6086   -405   -450  99999  99999
      6   4300   6288  99999  99999    295    159
      5   4270   6336   -411   -438  99999  99999
      4   4000   6780   -447   -465    285    164
      5   3990   6797   -449   -466  99999  99999
      5   3800   7120   -473   -519  99999  99999
      5   3710   7278   -487   -501  99999  99999
      6   3630   7419  99999  99999    285    164
      5   3580   7511   -503   -573  99999  99999
      5   3540   7584   -505   -555  99999  99999
      7   3440   7770   -517   -577    295    185
      5   3420   7808   -517   -577  99999  99999
      5   3390   7865   -505   -665  99999  99999
      6   3010   8638  99999  99999    300    221
      4   3000   8660   -507   -687    300    226
      5   2840   9017   -493   -733    300    314
      5   2540   9756   -435   -825  99999  99999
      4   2500   9870   -437   -837    300    298
      6   2370  10226  99999  99999    300    329
      6   2210  10692  99999  99999    305    267
      4   2000  11360   -459   -849    300    303
      4   1500  13260   -477   -867    295    314
      5   1430  13574   -485   -865    305    344
      6   1340  14004  99999  99999    300    257
      6   1170  14901  99999  99999    290    257
      6   1050  15617  99999  99999    305    216
      4   1000  15940   -479   -869    300    252
      5    940  16348   -467   -857  99999  99999
      6    937  16369  99999  99999    315    200
      6    901  16627  99999  99999    300    175
      6    771  17653  99999  99999    275    190
      4    700  18290   -497   -877    285    293
      6    690  18383  99999  99999    290    298
      5    622  19056   -525   -895  99999  99999
      6    576  19557  99999  99999    315    169
      5    544  19926   -495   -875  99999  99999
      6    530  20096  99999  99999    310    123
      6    519  20234  99999  99999    295    113
      4    500  20480   -543   -913    285    128
      5    487  20648   -555   -915  99999  99999
      6    477  99999  99999  99999    260    144
      6    459  99999  99999  99999    280    138
      5    433  21398   -535   -905  99999  99999
      5    388  22097   -567   -927    305    231
    254     12      3      OCT    2015
      1  99999   2836  67.37N 26.65E   178   1130
      2    300   2000   2580     81  99999      3
      3          EFSO                99999     ms
      9   9860    178     58    -11    270     66
      4  10000     62  99999  99999  99999  99999
      6   9390    571  99999  99999    295     82
      4   9250    692      2    -37    290     87
      5   8870   1026    -31    -47  99999  99999
      6   8700   1178  99999  99999    300     97
      4   8500   1362    -51   -111    300     92
      6   8110   1722  99999  99999    310    123
      5   8060   1776    -81   -151  99999  99999
      6   8000   1833  99999  99999    305    138
      5   7050   2795   -169   -199  99999  99999
      4   7000   2853   -169   -219    290    123
      5   6950   2907   -169   -249  99999  99999
      6   6930   2928  99999  99999    285    123
      5   6870   2994   -169   -309  99999  99999
      5   6550   3349   -199   -279  99999  99999
      5   6280   3660   -207   -417  99999  99999
      5   6030   3958   -227   -357  99999  99999
      6   6000   3994  99999  99999    280    169
      6   5880   4139  99999  99999    280    180
      5   5760   4292   -241   -421  99999  99999
      5   5730   4330   -239   -529  99999  99999
      5   5490   4640   -263   -523  99999  99999
      5   5430   4719   -271   -401  99999  99999
      5   5060   5223   -301   -551  99999  99999
      4   5000   5310   -309   -519    295    205
      6   4740   5680  99999  99999    290    211
      5   4380   6231   -387   -537  99999  99999
      4   4000   6860   -415   -605    300    355
      6   3930   6978  99999  99999    300    370
      5   3810   7188   -433   -573  99999  99999
      6   3790   7223  99999  99999    300    355
      7   3670   7439   -445   -645    300    386
      5   3410   7932   -427   -677  99999  99999
      6   3100   8570  99999  99999    305    602
      4   3000   8790   -465   -675    305    586
      7   2580   9781   -497   -737    300    550
      4   2500   9990   -497   -757    300    514
      4   2000  11450   -501   -821    300    442
      4   1500  13320   -503   -853    295    344
      6   1180  14882  99999  99999    300    221
      6   1110  15280  99999  99999    285    190
      4   1000  15960   -521   -871    285    211
      6    959  16232  99999  99999    275    241
      6    913  16551  99999  99999    290    272
      6    865  16902  99999  99999    300    190
      6    818  17265  99999  99999    295    252
      5    769  17651   -533   -883  99999  99999
      6    768  17659  99999  99999    305    247
      5    748  17830   -499   -869  99999  99999
      6    711  18174  99999  99999    320    118
      4    700  18280   -513   -873    310    123
      5    698  18299   -515   -875  99999  99999
