 254     12      1      OCT    2016
      1  99999   2836  67.37N 26.65E   178   1130
      5   1910  11752  99999  99999    285     87
      5   1870  11891  99999  99999    270     82
      5   1770  12252  99999  99999    270     93
      5   1710  12478  99999  99999    290     93
      5   1650  12712  99999  99999    270     77
      5   1600  12914  99999  99999    275     93
      5   1510  13296  99999  99999    245     98
      4   1500  13340   -487   -867    245    103
      5   1460  13516  99999  99999    260    123
      5   1350  14028  99999  99999    285    108
      5   1210  14743  99999  99999    290     72
      5   1170  14962  99999  99999    255     72
      5   1110  15306  99999  99999    275     51
      4   1000  15990   -507   -887    270     51
      5    981  16114  99999  99999    250     51
      5    917  16552  99999  99999    280     67
      5    817  17303  99999  99999    235     62
      5    747  17886  99999  99999    260    118
      5    719  18135  99999  99999    255     87
      4    700  18310   -523   -893    270    113
      5    695  18356  99999  99999    275    113
      5    651  18778   -519   -889  99999  99999
      5    631  18978  99999  99999    265     93
      5    575  19573  99999  99999    305     57
      7    559  19753   -559   -909    285     21
      5    557  19777  99999  99999    270     21
      5    545  19916  99999  99999    220     51
      5    521  20199   -565   -915  99999  99999
      4    500  20470   -559   -909    265     82
      5    499  20482  99999  99999    265     82
      5    467  20903  99999  99999    255    118
      5    452  21110  99999  99999    275     98
      5    432  21398  99999  99999    240     87
      5    400  21888  99999  99999    285    154
      5    392  22016  99999  99999    295    134
      5    365  22470  99999  99999    300     87
      5    346  22810  99999  99999    335     72
      5    340  22921  99999  99999    330     51
      5    329  23130  99999  99999    295     26
      5    319  23327  99999  99999    255     51
      5    302  23677  99999  99999    270     72
      4    300  23720   -567   -917    270     67
      5    278  24200  99999  99999    260     21
      5    261  24598  99999  99999    255     51
      5    259  24645   -585   -925  99999  99999
      5    256  24718  99999  99999    270     57
      5    242  25073  99999  99999    260     82
      5    239  25151  99999  99999    265     87
      5    233  25312  99999  99999    295     72
      5    224  25561  99999  99999    280     57
      5    218  25733  99999  99999    290     51
      5    209  26000  99999  99999    285     10
      4    200  26280   -559   -919    235     26
