254     12      1      OCT    2014
      1  99999   2836  67.37N 26.65E   178   1130
      2    300   1700   1890    112  99999      3
      3          EFSO                99999     ms
      9  10030    178     84     13    185     56
      4  10000    206     76      5    220     51
      6   9450    666  99999  99999    220    123
      5   9370    734     22    -11  99999  99999
      4   9250    841     18    -18    235    154
      6   9030   1034  99999  99999    250    164
      6   8930   1123  99999  99999    255    159
      5   8910   1141     12    -48  99999  99999
      6   8870   1177  99999  99999    255    154
      5   8770   1268      2    -25  99999  99999
      5   8610   1415      0    -49  99999  99999
      4   8500   1521     12   -178    265    102
      5   8440   1578     16   -224  99999  99999
      6   8400   1615  99999  99999    260     87
      6   8260   1748  99999  99999    280     72
      5   8100   1908     12   -328  99999  99999
      6   8000   2006  99999  99999    290     77
      5   7930   2078      2   -348  99999  99999
      5   7810   2200     -7   -197  99999  99999
      5   7770   2241    -11    -81  99999  99999
      6   7610   2405  99999  99999    315     92
      5   7240   2798    -57    -80  99999  99999
      6   7190   2852  99999  99999    310     72
      5   7030   3028    -51   -131  99999  99999
      4   7000   3064    -53   -133    325     72
      6   6980   3085  99999  99999    320     66
      6   6830   3250  99999  99999    330     92
      6   6630   3476  99999  99999    315     97
      5   6280   3905   -101   -151  99999  99999
      5   6010   4241   -129   -137  99999  99999
      6   6000   4253  99999  99999    310    128
      6   5680   4666  99999  99999    315    164
      5   5160   5384   -199   -209  99999  99999
      4   5000   5630   -213   -260    320    175
      5   4840   5869   -225   -295  99999  99999
      5   4570   6286   -259   -285  99999  99999
      6   4460   6460  99999  99999    325    180
      5   4440   6494   -275   -310  99999  99999
      5   4340   6657   -281   -401  99999  99999
      5   4220   6857   -295   -375  99999  99999
      5   4190   6908   -295   -435  99999  99999
      6   4140   6993  99999  99999    335    144
      4   4000   7240   -319   -439    345    149
      5   3760   7672   -357   -457  99999  99999
      6   3640   7892  99999  99999    355    175
      5   3460   8245   -385   -515  99999  99999
      4   3000   9210   -465   -525    355    247
      5   2870   9502   -487   -547  99999  99999
      6   2780   9709  99999  99999    350    262
      5   2550  10266   -551   -611  99999  99999
      4   2500  10400   -557   -627    350    241
      5   2160  11316   -615   -675  99999  99999
      5   2090  11519   -619   -661  99999  99999
      6   2070  11578  99999  99999      0    216
      5   2010  11759   -625   -643  99999  99999
      4   2000  11790   -627   -646    345    241
      6   1930  12010  99999  99999    340    288
      7   1890  12136   -643   -668    340    303
      6   1810  12407  99999  99999    355    308
      5   1780  12502   -645   -705  99999  99999
      6   1770  12537  99999  99999      0    283
      5   1720  12713   -613   -823  99999  99999
      6   1700  12786  99999  99999    350    195
      6   1600  13165  99999  99999    335    252
      5   1570  13282   -577   -817  99999  99999
      4   1500  13570   -599   -839    340    226
      5   1480  13654   -603   -833  99999  99999
      5   1420  13913   -569   -829  99999  99999
      6   1340  14281  99999  99999    345    180
      5   1290  14518   -581   -851  99999  99999
      6   1280  14567  99999  99999    330    200
      5   1260  14667   -551   -831  99999  99999
      6   1240  14768  99999  99999    345    164
      6   1070  15708  99999  99999    325    149
      4   1000  16140   -561   -851    330    128
      5    954  16440   -543   -843  99999  99999
      6    933  16581  99999  99999    340    118
      6    856  17129  99999  99999    325    113
      5    850  17172   -577   -857  99999  99999
      6    803  17534  99999  99999    335    123
      6    728  18159  99999  99999    310     97
      4    700  18410   -549   -849    330    102
      6    681  18585  99999  99999    340     92
      6    636  19019  99999  99999    305     82
      6    619  19191  99999  99999    320     92
      6    603  19357  99999  99999    295     92
      6    567  19749  99999  99999    315     72
      5    552  19926   -545   -855  99999  99999
      6    506  20474  99999  99999    310     72
      4    500  20550   -577   -877    305     66
      6    498  20576  99999  99999    300     66
      5    489  20690   -581   -881  99999  99999
      6    488  20703  99999  99999    285     77
      6    477  20848  99999  99999    280    113
      6    448  21247  99999  99999    305    164
      6    411  21795  99999  99999    330    102
      6    395  22047  99999  99999    305     77
      6    383  22243  99999  99999    320     77
      5    375  22371   -545   -855  99999  99999
      6    369  22474  99999  99999    300     66
      5    318  23419   -565   -865  99999  99999
      6    312  23543  99999  99999    290    113
      4    300  23800   -547   -857    295    133
      6    295  99999  99999  99999    300    113
      6    286  99999  99999  99999    280     82
      6    274  99999  99999  99999    305    133
      5    257  24792   -525   -845  99999  99999
      5    238  25285   -541   -851    325     92
    254      0      2      OCT    2014
      1  99999   2836  67.37N 26.65E   178   2330
      2    500   1740   2070    101  99999      3
      3          EFSO                99999     ms
      9  10000    178     60     48    230     36
      4  10000    178  99999  99999  99999  99999
      6   9870    284  99999  99999    210     51
      4   9250    812     18     17    240    118
      5   9180    873     38     31  99999  99999
      5   9080    962     42     14  99999  99999
      6   9050    989  99999  99999    250     87
      5   8980   1052     42     -8  99999  99999
      5   8890   1134     54   -126  99999  99999
      6   8840   1180  99999  99999    215     77
      6   8820   1198  99999  99999    210     77
      5   8800   1217     62     -8  99999  99999
      5   8540   1461     48    -21  99999  99999
      4   8500   1502     46    -14    205     72
      6   8150   1838  99999  99999    205     61
      6   8000   1986  99999  99999    220     56
      6   7940   2046  99999  99999    225     66
      5   7650   2349      0    -60  99999  99999
      6   7630   2369  99999  99999    190     66
      6   7200   2832  99999  99999    195     56
      4   7000   3057    -57    -87    215     66
      5   6850   3226    -69    -98  99999  99999
      5   6780   3306    -63   -133  99999  99999
      6   6740   3351  99999  99999    235     77
      5   6500   3634    -81   -161  99999  99999
      5   6420   3730    -77   -217  99999  99999
      5   6290   3889    -75   -265  99999  99999
      6   6010   4236  99999  99999    275     92
      6   6000   4248  99999  99999    275     92
      5   5820   4487   -117   -207  99999  99999
      5   5180   5366   -181   -311  99999  99999
      4   5000   5640   -201   -271    280     82
      6   4990   5654  99999  99999    280     82
      5   4940   5729   -209   -269  99999  99999
      6   4800   5937  99999  99999    270     82
      6   4640   6183  99999  99999    290     51
      6   4500   6405  99999  99999    265     72
      6   4380   6601  99999  99999    290     72
      6   4090   7098  99999  99999    285    118
      4   4000   7260   -307   -437    280    133
      5   3940   7367   -311   -461    275    149
      6   3860   7507  99999  99999    265    144
      6   3700   7798  99999  99999    265    113
      5   3680   7846   -347   -437  99999  99999
      5   3360   8476   -383   -553  99999  99999
      5   3310   8578   -387   -517    300    128
      5   3160   8894   -415   -464  99999  99999
      6   3070   9086  99999  99999    295    164
      4   3000   9240   -447   -490    300    159
      5   2880   9511   -471   -503  99999  99999
      6   2590  10207  99999  99999    305    138
      4   2500  10440   -549   -582    315    133
      5   2400  10699   -573   -599  99999  99999
      5   2290  10993   -599   -631  99999  99999
      6   2110  11499  99999  99999    340    113
      7   2070  11618   -629   -673    330    118
      4   2000  11830   -619   -655    325    118
      6   1990  11861  99999  99999    320    123
      5   1890  12181   -595   -715  99999  99999
      6   1880  12214  99999  99999    335    108
      6   1860  12280  99999  99999    330     97
      6   1790  12518  99999  99999    310    144
      6   1740  12694  99999  99999    315    180
      6   1590  13256  99999  99999    335    128
      4   1500  13620   -605   -825    335    123
      6   1420  13964  99999  99999    345     97
      6   1400  14053  99999  99999    340     92
      6   1360  14235  99999  99999    320    118
      6   1280  14616  99999  99999    340    128
      6   1210  14970  99999  99999    325    154
      6   1180  15128  99999  99999    340    108
      6   1150  15290  99999  99999    330     77
      6   1130  15400  99999  99999    310     92
      6   1070  15743  99999  99999    315    154
      4   1000  16170   -577   -857    325    123
      6    903  16816  99999  99999    330     72
      6    882  16965  99999  99999    305     77
      6    851  17191  99999  99999    300    113
      6    816  17457  99999  99999    325    102
      6    786  17694  99999  99999    335     66
      6    751  17983  99999  99999    315     72
      4    700  18430   -573   -863    345     66
      6    696  18466  99999  99999    345     61
      6    675  18659  99999  99999    325     66
      6    641  18986  99999  99999    310     46
      6    620  19197  99999  99999    300     56
      6    596  19447  99999  99999    270     72
      6    542  20048  99999  99999    330    108
      5    508  20451   -573   -873  99999  99999
      6    506  20478  99999  99999    345     72
      4    500  20560   -567   -867    335     56
      6    482  99999  99999  99999    300     51
      5    475  20886   -545   -855  99999  99999
      6    419  99999  99999  99999    305     72
      6    409  99999  99999  99999    290     87
      6    393  99999  99999  99999    300    123
      5    370  22469   -577   -877    325     77
    254     12      2      OCT    2014
      1  99999   2836  67.37N 26.65E   178   1130
      2    500   2500   2230     98  99999      3
      3          EFSO                99999     ms
      9   9960    178     68     62    190     36
      4  10000    145  99999  99999  99999  99999
      6   9730    370  99999  99999    195     77
      6   9420    636  99999  99999    235     97
      4   9250    786     34     32    240    108
      6   8810   1179  99999  99999    255     87
      5   8540   1427     -3     -3  99999  99999
      4   8500   1468     -3     -3    275     56
      6   8470   1496  99999  99999    275     56
      5   8120   1832     -5     -5  99999  99999
      6   8000   1951  99999  99999    240    128
      5   7920   2031     12      3  99999  99999
      6   7900   2051  99999  99999    235    133
      6   7640   2319  99999  99999    215    102
      4   7000   3020    -47    -48    220    108
      5   6980   3042    -49    -51  99999  99999
      6   6690   3366  99999  99999    220    108
      6   6500   3586  99999  99999    225     92
      6   6000   4197  99999  99999    255    138
      6   5720   4562  99999  99999    265    123
      5   5650   4666   -153   -163  99999  99999
      6   5480   4896  99999  99999    245    138
      5   5430   4965   -159   -184  99999  99999
      4   5000   5590   -203   -238    245    149
      6   4720   6005  99999  99999    240    175
      5   4260   6753   -287   -337  99999  99999
      4   4000   7200   -329   -353    230    133
      5   3820   7521   -357   -365  99999  99999
      6   3800   7556  99999  99999    235    133
      5   3710   7723   -375   -392  99999  99999
      5   3540   8044   -395   -421  99999  99999
      5   3460   8200   -401   -471  99999  99999
      4   3000   9170   -469   -513    225    195
      5   2700   9858   -519   -544  99999  99999
      5   2680   9906   -519   -639  99999  99999
      5   2630  10028   -517   -627  99999  99999
      5   2600  10102   -519   -669  99999  99999
      4   2500  10350   -531   -651    215    272
      6   2300  10880  99999  99999    220    272
      7   2230  11076   -579   -679    220    252
      5   2110  11426   -561   -701  99999  99999
      6   2020  11705  99999  99999    205    185
      4   2000  11770   -579   -699    205    185
      6   1870  12195  99999  99999    230    180
      5   1860  12226   -591   -751  99999  99999
      6   1710  12758  99999  99999    225    118
      6   1610  13140  99999  99999    220    154
      6   1560  13340  99999  99999    235    159
      4   1500  13590   -561   -821    255    102
      5   1490  13632   -553   -813  99999  99999
      6   1360  14208  99999  99999    240     61
      6   1330  14348  99999  99999    250     51
      6   1280  14590  99999  99999    235     30
      5   1260  14689   -593   -833  99999  99999
      6   1240  14790  99999  99999    230     56
      6   1210  14944  99999  99999    240     92
      6   1190  15049  99999  99999    250     87
      6   1160  15210  99999  99999    240     66
      5   1100  15544   -557   -837    295     87
      6   1080  15660  99999  99999    300     82
      6   1050  15839  99999  99999    275     82
      4   1000  16150   -565   -835    280     77
      6    944  16516  99999  99999    310     51
      6    922  16666  99999  99999    305     30
      6    905  16784  99999  99999    255     56
      6    893  16869  99999  99999    250     72
      6    866  17064  99999  99999    280     72
      6    835  17296  99999  99999    255     77
      6    808  17505  99999  99999    265    102
      6    751  17971  99999  99999    310     61
      6    730  18152  99999  99999    290     61
      4    700  18420   -553   -843    325     82
      6    681  18594  99999  99999    350     51
      6    659  18801  99999  99999    320     15
      6    641  18976  99999  99999    270     51
      6    622  19166  99999  99999    285     87
      6    591  19490  99999  99999    325     66
      6    577  19641  99999  99999    290     30
      6    559  19842  99999  99999    285     51
      6    525  20240  99999  99999    290     87
      4    500  20550   -561   -861    315     77
      6    497  99999  99999  99999    320     72
      6    478  99999  99999  99999    325     87
      6    463  99999  99999  99999    340     51
      6    450  99999  99999  99999    335     25
      6    439  99999  99999  99999    290     56
      6    429  99999  99999  99999    300     92
      6    410  99999  99999  99999    345     66
      6    403  99999  99999  99999    350     61
      6    400  99999  99999  99999    340     51
      6    388  99999  99999  99999    270     51
      6    363  99999  99999  99999    285     87
      6    348  99999  99999  99999    320     82
      5    330  23184   -561   -861    295     56
    254      0      3      OCT    2014
      1  99999   2836  67.37N 26.65E   178   2330
      2    300   2690    624    104  99999      3
      3          EFSO                99999     ms
      9  10030    178     -9    -11      0      0
      4  10000    201      2      1    265     15
      6   9870    308  99999  99999    295     56
      5   9830    340     76      5  99999  99999
      5   9710    441     74     -5  99999  99999
      6   9410    699  99999  99999    305    128
      5   9360    741     54    -26  99999  99999
      4   9250    840     46    -24    305    123
      6   8990   1069  99999  99999    315    113
      6   8870   1177  99999  99999    310    108
      5   8640   1389      2    -58  99999  99999
      4   8500   1522     -5    -65    300     92
      6   8430   1586  99999  99999    295     97
      6   8220   1783  99999  99999    300     82
      6   8000   1995  99999  99999    295     92
      6   7470   2533  99999  99999    275    133
      5   7230   2788    -99   -159  99999  99999
      6   7010   3032  99999  99999    290    128
      4   7000   3044   -111   -221    295    128
      6   6760   3304  99999  99999    310    205
      5   6680   3401   -123   -413  99999  99999
      5   6390   3738   -137   -417  99999  99999
      6   6000   4205  99999  99999    305    241
      5   5660   4644   -213   -303  99999  99999
      5   5520   4828   -207   -327  99999  99999
      5   5440   4935   -213   -363  99999  99999
      6   5300   5128  99999  99999    290    314
      4   5000   5560   -261   -381    310    319
      5   4180   6827   -357   -457  99999  99999
      4   4000   7130   -383   -407    305    406
      5   3960   7199   -389   -395  99999  99999
      6   3940   7232  99999  99999    305    427
      5   3600   7846   -425   -575  99999  99999
      5   3470   8093   -439   -569  99999  99999
      6   3240   8548  99999  99999    320    535
      4   3000   9060   -519   -599    325    499
      5   2850   9389   -547   -607  99999  99999
      6   2740   9641  99999  99999    320    478
      7   2690   9756   -571   -641    315    458
      5   2570  10046   -535   -715  99999  99999
      4   2500  10230   -545   -715    315    355
      6   2440  10385  99999  99999    315    334
      5   2350  10623   -565   -745  99999  99999
      6   2320  10705  99999  99999    290    247
      6   2230  10959  99999  99999    290    283
      5   2120  11283   -511   -811  99999  99999
      6   2110  11313  99999  99999    300    221
      6   2020  11595  99999  99999    290    159
      4   2000  11660   -529   -819    285    159
      6   1880  12057  99999  99999    260    211
      5   1870  12090   -557   -837  99999  99999
      6   1840  12194  99999  99999    270    236
      5   1770  12443   -513   -823  99999  99999
      6   1710  12665  99999  99999    295    113
      6   1660  12856  99999  99999    270     82
      6   1540  13340  99999  99999    280    164
      4   1500  13510   -517   -837    295    123
      6   1490  13552  99999  99999    295    108
      6   1460  13682  99999  99999    285     77
      6   1390  13997  99999  99999    250     97
      6   1370  14089  99999  99999    255    118
      6   1310  14376  99999  99999    275     56
      6   1220  14833  99999  99999    260     66
      6   1090  15556  99999  99999    290    128
      6   1060  15735  99999  99999    300     82
      6   1010  16045  99999  99999    245     51
      4   1000  16110   -565   -865    250     66
      6    917  16663  99999  99999    280    133
      5    902  16768   -531   -861  99999  99999
      6    849  17155  99999  99999    305     61
      5    815  17416   -559   -869  99999  99999
      6    813  17431  99999  99999    275     66
      6    790  17614  99999  99999    280     77
      6    769  17786  99999  99999    310     77
      6    719  18217  99999  99999    320     51
      5    704  18350   -535   -865  99999  99999
      4    700  18390   -535   -865    275     10
      6    668  18687  99999  99999    270     51
      6    649  18870  99999  99999    295     66
      7    624  19121   -569   -879    285     61
      6    604  19327  99999  99999    270     72
      6    587  19508  99999  99999    290     82
      6    568  19717  99999  99999    325     56
      6    530  20158  99999  99999    310     61
